PLAYER_NAME,POSITION,TEAM,RATING,TOP_TEN,PTS,REB,AST,STL,BLK,TOV,SCR,AVG
Kevin Huerter,F-G,ATL,76,0.0,11.8,4.0,3.5,1.2,0.3,1.2,25.15,0.33
Miles Bridges,F,CHA,75,0.0,10.5,6.3,2.1,0.9,0.9,1.7,24.91,0.33
Michael Carter-Williams,G,ORL,74,0.0,10.7,4.9,4.7,0.7,0.5,2.6,24.63,0.33
Mikal Bridges,F,PHX,83,1.0,13.0,4.8,2.1,0.8,0.9,0.7,28.31,0.32
Will Barton,G,DEN,75,0.0,12.8,4.0,3.1,0.8,0.4,1.6,24.25,0.32
Danny Green,F-G,PHI,75,1.0,9.8,4.1,1.8,1.4,0.9,1.2,25.12,0.31
Alex Len,C,WAS,75,0.0,9.0,5.8,1.3,0.3,1.7,1.4,22.51,0.3
Ivica Zubac,C,LAC,79,0.0,9.0,7.4,1.1,0.4,1.0,1.1,22.63,0.29
Seth Curry,G,PHI,76,0.0,13.2,2.4,2.7,0.9,0.2,1.4,22.03,0.29
Nicolas Batum,F-G,LAC,77,0.0,8.7,4.2,2.2,1.1,0.3,0.8,20.44,0.27
Paul Millsap,F,DEN,79,0.0,9.2,4.8,1.5,0.9,0.6,1.0,20.71,0.26
Raul Neto,G,WAS,76,0.0,9.1,2.9,2.8,1.3,0.1,0.9,20.08,0.26
Robin Lopez,C,WAS,76,0.0,9.5,5.3,0.8,0.4,0.7,1.2,19.16,0.25
Chuma Okeke,F,ORL,72,0.0,5.9,4.1,2.3,0.9,0.4,0.8,17.37,0.24
Shake Milton,F-G,PHI,78,0.0,11.3,2.0,2.5,0.6,0.3,1.3,18.85,0.24
Cody Zeller,C-F,CHA,79,0.0,6.9,5.4,1.6,0.6,0.5,0.9,18.18,0.23
Matisse Thybulle,F-G,PHI,74,0.0,5.4,2.5,1.2,1.5,1.0,0.7,17.0,0.23
Deni Avdija,F,WAS,74,0.0,6.8,4.9,1.4,0.7,0.2,1.0,16.48,0.22
Tony Snell,G,ATL,73,0.0,7.9,2.9,1.7,0.2,0.2,0.4,14.73,0.2
Furkan Korkmaz,F-G,PHI,73,0.0,8.3,2.2,1.1,0.7,0.2,0.9,14.39,0.2
Jae Crowder,F,PHX,77,0.0,7.0,3.2,1.2,0.6,0.2,0.6,14.44,0.19
Cameron Payne,G,PHX,77,0.0,6.4,1.8,3.1,0.5,0.2,1.0,14.31,0.19
JaVale McGee,C-F,DEN,78,0.0,6.5,4.1,0.8,0.3,0.9,1.1,15.12,0.19
Cameron Johnson,F,PHX,78,0.0,8.2,2.6,1.0,0.5,0.2,0.6,14.32,0.18
Torrey Craig,F,PHX,75,0.0,4.6,3.6,1.2,0.6,0.4,0.4,13.32,0.18
Dario Saric,C-F,PHX,79,0.0,7.9,3.2,0.9,0.4,0.1,1.2,13.39,0.17
Garrison Mathews,G,WAS,75,0.0,7.6,1.8,0.6,0.6,0.1,0.2,12.56,0.17
Dwayne Bacon,F-G,ORL,71,0.0,7.0,2.1,0.9,0.5,0.1,0.5,12.17,0.17
Frank Kaminsky,C-F,PHX,79,0.0,5.3,3.0,1.2,0.3,0.3,0.4,12.1,0.15
Bismack Biyombo,C,CHA,75,0.0,3.4,3.5,0.8,0.3,0.8,0.7,11.4,0.15
Reggie Jackson,G,LAC,77,0.0,6.1,1.6,2.0,0.3,0.1,0.7,11.52,0.15
Mike Scott,F,PHI,71,0.0,4.5,2.7,0.7,0.7,0.0,0.7,10.19,0.14
Chasson Randle,G,ORL,71,0.0,4.5,1.8,2.0,0.4,0.0,0.9,9.96,0.14
Solomon Hill,F,ATL,70,0.0,4.0,2.1,0.8,0.7,0.2,0.5,9.92,0.14
R.J. Hampton,G,ORL,72,0.0,3.1,4.5,1.6,0.0,0.0,1.6,9.3,0.13
Nathan Knight,C-F,ATL,70,0.0,3.6,2.4,0.4,0.2,0.4,0.6,8.28,0.12
Onyeka Okongwu,C-F,ATL,75,0.0,2.9,2.7,0.2,0.4,0.7,0.4,9.34,0.12
Cody Martin,F,CHA,74,0.0,3.2,2.4,1.0,0.4,0.0,0.4,8.38,0.11
Khem Birch,C,ORL,76,1.0,2.3,2.5,0.5,0.3,0.3,0.3,9.55,0.1
Patrick Patterson,F,LAC,72,0.0,3.5,1.4,0.5,0.4,0.1,0.4,7.03,0.1
Isaac Bonga,G,WAS,71,0.0,2.4,2.0,0.7,0.2,0.2,0.6,6.45,0.09
Terance Mann,F-G,LAC,72,0.0,2.6,1.7,0.5,0.2,0.1,0.3,5.99,0.08
Brad Wanamaker,G,CHA,72,0.0,1.7,0.8,1.1,0.3,0.0,0.4,4.81,0.07
Facundo Campazzo,G,DEN,74,0.0,1.8,0.5,0.9,0.3,0.1,0.3,4.65,0.06
Jerome Robinson,G,WAS,72,0.0,0.9,0.5,0.3,0.1,0.1,0.2,2.35,0.03
JaMychal Green,C-F,DEN,77,1.0,0.4,0.3,0.1,0.0,0.0,0.1,2.81,0.01
Langston Galloway,G,PHX,76,0.0,0.5,0.1,0.1,0.0,0.0,0.0,0.77,0.01
Jevon Carter,G,PHX,72,0.0,0.2,0.1,0.1,0.0,0.0,0.0,0.47,0.01
Caleb Martin,F,CHA,74,0.0,0.3,0.1,0.1,0.1,0.0,0.1,0.77,0.01
Cassius Winston,G,WAS,69,0.0,0.2,0.1,0.1,0.0,0.0,0.0,0.47,0.01
Zeke Nnaji,C-F,DEN,72,0.0,0.5,0.3,0.0,0.0,0.0,0.0,0.86,0.01
