,Name,PTS,REB,AST,STL,BLK,TOV
172,Dario Saric,6.6,3.0,1.0,0.4,0.0,0.8
173,Denzel Valentine,6.2,2.6,1.4,0.4,0.0,0.6
174,Jordan McLaughlin,3.6,1.6,2.9,0.7,0.1,0.8
175,Malachi Flynn,4.6,1.7,2.0,0.5,0.2,0.5
176,Immanuel Quickley,7.0,1.4,1.3,0.3,0.1,0.6
177,Robin Lopez,5.7,2.9,0.6,0.2,0.4,0.7
178,Kenrich Williams,4.4,2.5,1.2,0.4,0.1,0.7
179,R.J. Hampton,4.8,2.7,0.8,0.4,0.1,0.8
180,Hassan Whiteside,4.1,2.9,0.4,0.1,0.6,0.5
181,Cory Joseph,4.0,1.3,1.8,0.6,0.1,0.7
182,Patrick Patterson,4.4,1.6,0.8,0.4,0.4,0.4
183,Onyeka Okongwu,3.5,2.7,0.3,0.3,0.6,0.5
184,Georges Niang,4.9,1.9,0.6,0.2,0.1,0.5
185,Furkan Korkmaz,4.6,1.1,0.7,0.4,0.1,0.4
186,Austin Rivers,4.1,1.3,1.1,0.3,0.0,0.6
187,Wesley Matthews,3.3,1.3,0.6,0.5,0.2,0.3
188,Solomon Hill,3.1,1.7,0.6,0.5,0.1,0.4
189,Garrison Mathews,4.1,1.1,0.4,0.4,0.1,0.2
190,Matthew Dellavedova,2.0,1.3,2.5,0.1,0.0,0.4
191,Jaylen Nowell,4.2,1.1,0.7,0.2,0.1,0.4
192,Jarred Vanderbilt,1.9,2.2,0.5,0.4,0.3,0.4
193,Stanley Johnson,2.1,1.4,0.7,0.7,0.0,0.7
194,Ben McLemore,3.6,1.0,0.4,0.3,0.1,0.4
195,Justin Robinson,3.0,0.9,0.9,0.3,0.0,0.3
196,Deividas Sirvydis,3.2,1.4,0.5,0.2,0.1,0.5
197,Devin Vassell,2.5,1.3,0.4,0.4,0.1,0.2
198,John Konchar,1.4,1.4,0.6,0.4,0.2,0.2
199,J.J. Redick,3.3,0.8,0.5,0.1,0.0,0.3
200,JaVale McGee,1.9,1.5,0.3,0.1,0.3,0.4
201,Obi Toppin,2.8,1.6,0.4,0.0,0.0,0.4
202,Marc Gasol,1.4,1.2,0.5,0.2,0.3,0.3
203,Damian Jones,1.6,1.4,0.2,0.1,0.3,0.3
204,Isaac Bonga,1.6,1.1,0.4,0.2,0.1,0.4
205,Sekou Doumbouya,1.8,1.0,0.4,0.2,0.0,0.4
206,Nemanja Bjelica,1.7,1.0,0.5,0.1,0.0,0.3
207,Jarrett Culver,1.4,0.9,0.2,0.2,0.1,0.3
208,Dwight Powell,1.0,0.9,0.2,0.2,0.1,0.1
209,Jake Layman,1.4,0.5,0.2,0.2,0.1,0.2
210,Dewayne Dedmon,0.7,1.2,0.1,0.0,0.2,0.2
211,Trey Burke,1.6,0.2,0.4,0.1,0.0,0.1
212,Precious Achiuwa,0.8,0.7,0.1,0.1,0.1,0.1
213,Nicolo Melli,0.5,0.5,0.2,0.1,0.0,0.1
214,Jevon Carter,0.6,0.3,0.2,0.1,0.0,0.0
215,Cedi Osman,0.7,0.2,0.2,0.1,0.0,0.1
216,Chimezie Metu,0.6,0.4,0.1,0.0,0.1,0.1
217,Frank Ntilikina,0.6,0.2,0.1,0.1,0.0,0.1
218,Ersan Ilyasova,0.6,0.3,0.0,0.1,0.0,0.1
219,Tyler Cook,0.5,0.4,0.1,0.0,0.0,0.1
220,Tyus Jones,0.3,0.1,0.2,0.1,0.0,0.0
221,Robert Franks,0.6,0.2,0.1,0.0,0.0,0.1
222,Miye Oni,0.4,0.3,0.1,0.0,0.0,0.1
223,Mike Scott,0.4,0.2,0.1,0.0,0.0,0.0
224,DeMarcus Cousins,0.3,0.3,0.1,0.0,0.0,0.1
225,Xavier Tillman,0.3,0.2,0.1,0.0,0.0,0.0
226,Zeke Nnaji,0.4,0.2,0.0,0.0,0.0,0.0
227,Rodney Hood,0.3,0.1,0.1,0.0,0.0,0.0
228,Chasson Randle,0.3,0.1,0.1,0.0,0.0,0.1
229,Paul Reed,0.2,0.2,0.0,0.0,0.0,0.0
230,Alfonzo McKinnie,0.3,0.1,0.0,0.0,0.0,0.0
231,Amir Coffey,0.3,0.1,0.0,0.0,0.0,0.0
232,Brodric Thomas,0.1,0.1,0.1,0.0,0.0,0.0
233,DeAndre Bembry,0.2,0.1,0.1,0.0,0.0,0.1
234,Frank Jackson,0.2,0.1,0.0,0.0,0.0,0.0
235,Nathan Knight,0.2,0.1,0.0,0.0,0.0,0.0
236,Keita Bates-Diop,0.2,0.1,0.0,0.0,0.0,0.0
237,Chandler Hutchison,0.1,0.1,0.1,0.0,0.0,0.1
238,Trent Forrest,0.1,0.0,0.1,0.0,0.0,0.0
239,Frank Kaminsky,0.1,0.1,0.0,0.0,0.0,0.0
240,Cassius Winston,0.2,0.0,0.0,0.0,0.0,0.0
241,Kostas Antetokounmpo,0.0,0.1,0.0,0.0,0.0,0.0
242,Bruno Fernando,0.1,0.1,0.0,0.0,0.0,0.1
243,Tyrese Maxey,0.1,0.0,0.0,0.0,0.0,0.0
244,Luka Samanic,0.1,0.0,0.0,0.0,0.0,0.0
245,Aron Baynes,0.1,0.0,0.0,0.0,0.0,0.0
246,Dwayne Bacon,0.1,0.0,0.0,0.0,0.0,0.0
247,Willy Hernangomez,0.1,0.0,0.0,0.0,0.0,0.0
248,Max Strus,0.1,0.0,0.0,0.0,0.0,0.0
249,Matt Thomas,0.1,0.0,0.0,0.0,0.0,0.0
250,KZ Okpala,0.1,0.0,0.0,0.0,0.0,0.0
251,Damyean Dotson,0.1,0.0,0.0,0.0,0.0,0.0
252,Ryan Arcidiacono,0.1,0.0,0.0,0.0,0.0,0.0
253,Kevin Knox,0.1,0.0,0.0,0.0,0.0,0.0
254,Luguentz Dort,0.0,0.0,0.0,0.0,0.0,0.0
255,Shai Gilgeous-Alexander,0.0,0.0,0.0,0.0,0.0,0.0
256,Jaylen Hoard,0.0,0.0,0.0,0.0,0.0,0.0
257,Ben Simmons,0.0,0.0,0.0,0.0,0.0,0.0
258,Anthony Tolliver,0.0,0.0,0.0,0.0,0.0,0.0
259,Karim Mane,0.0,0.0,0.0,0.0,0.0,0.0
