Name,Team,Pos,Projection,Salary,Pts/$1k,FPPM,USG%,Opp,OPP Rank,DVP,Spread,Total,O/U,Minutes,PTS,AST,REB,STL,BLK,FT,FGA,FGM,PER,FG%,eFG%
"Kentavious Caldwell-Pope","LAL","SF",19,4500,4.2,0.8,13.8,"NOP",16,2,6,108,222,23,9.3,1.5,2.5,0.9,0.3,1.2,7.7,3.3,9.5,40,54
"Jeff Green","BKN","PF",18.7,4600,4.1,0.7,13.4,"POR",21,17,1.5,117.5,236.5,28,11.4,1.6,4,0.6,0.3,1.9,8.7,4.1,11.7,50,60.3
"Facundo Campazzo","DEN","PG",18.6,3800,4.9,0.8,13.6,"ORL",19,30,-7.5,112,216.5,23,6.8,3.5,1.9,1.3,0.4,1.3,5.5,2.1,10.9,40,50.3
"Furkan Korkmaz","PHI","SG",18.4,3500,5.3,1,20.5,"GSW",13,13,-3,"N/A","",19,9.6,1.1,2.5,0.9,0.1,1,6.4,2.5,11.6,40,51.6
"Damion Lee","GSW","SG",18.2,3500,5.2,1.1,12.9,"PHI",6,20,3,"N/A","",16,6.9,1.3,3.3,0.7,0.1,0.9,5,2.2,11.8,40,58.2
"Jaxson Hayes","NOP","C",18.1,3600,5,1.1,13.2,"LAL",2,11,-6,114,222,17,7.7,0.8,5.3,0.6,0.8,1.6,4.1,2.9,17.4,70,72.5
"Alex Len","WAS","C",17.9,4200,4.3,0.9,11.7,"NYK",18,30,2,111.75,225.5,21,7.9,1.1,4.8,0.4,1.3,1.4,5.4,3,4.3,60,65
"Jae Crowder","PHX","PF",17.6,3900,4.5,0.7,15.8,"MIA",17,27,1,"N/A","",25,8.9,1.7,4.3,0.7,0.2,0.8,6.7,2.8,11.4,40,54
"Robin Lopez","WAS","C",17.5,3600,4.9,0.9,15.8,"NYK",24,30,2,111.75,225.5,19,7.5,0.8,3.9,0.3,0.7,1.3,5.8,3.1,14.5,50,58.8
"Kent Bazemore","GSW","SF",17.5,3700,4.7,1.1,16.7,"PHI",2,24,3,"N/A","",16,7.1,1.8,3,1,0.5,1,5.7,2.4,10.8,40,54.5
"JaMychal Green","DEN","PF",17.5,3500,5,1.2,18.9,"ORL",29,30,-7.5,112,216.5,15,7.9,0.8,5,0.5,0.3,0.7,5.8,2.8,14.7,50,56.9
"Cameron Payne","PHX","PG",17.2,3600,4.8,1,17.8,"MIA",17,19,1,"N/A","",18,6.2,2.8,1.9,0.5,0.2,0.7,4.6,2.2,16,50,60.1
"Dario Saric","PHX","PF",17,3800,4.5,0.9,24.5,"MIA",7,27,1,"N/A","",20,8.5,1.1,3.7,0.5,0.2,1,5.5,2.5,15.2,50,54.8
"Nico Mannion","GSW","PG",16.8,3500,4.8,1.2,18.9,"PHI",6,8,3,"N/A","",14,4.6,2.1,2,0.6,0,1.1,5.3,1.8,9,30,43.5
"Elfrid Payton","NYK","PG",16.5,5000,3.3,0.9,23.2,"WAS",24,6,-2,113.75,225.5,19,11.6,4.2,3.9,0.9,0.3,1.5,10.4,4.6,12.4,40,45.7
"Chuma Okeke","ORL","SF",15.7,4100,3.8,0.8,10.8,"DEN",10,11,7.5,104.5,216.5,20,3.9,1.6,2.7,0.6,0.3,0.2,3.1,1.2,8.9,40,45.8
"Trevor Ariza","MIA","SF",15.5,4400,3.5,0.9,14.3,"PHX",13,8,1,"N/A","",17,5.8,1.5,3,0.7,0.2,1,5.3,2.1,6.7,40,31.3
"Marc Gasol","LAL","C",14.8,4100,3.6,1.3,11.1,"NOP",16,25,6,108,222,11,5.8,2.1,4.2,0.6,1,0.9,4.7,2,11.2,40,51.9
"Khem Birch","ORL","PF",14.8,3500,4.2,1,11.9,"DEN",10,19,7.5,104.5,216.5,15,2.8,0.6,2.5,0.3,0.3,0.8,2.3,1.2,14.4,50,48.3
"PJ Dozier","DEN","SG",14.6,3500,4.2,0.8,17,"ORL",19,30,-7.5,112,216.5,19,7.7,1.8,3.7,0.6,0.4,0.7,5.2,2.3,12.1,40,53
"Matisse Thybulle","PHI","SF",14.3,3700,3.9,0.7,9.1,"GSW",27,10,-3,"N/A","",22,4.3,1.1,1.9,1.6,1,0.2,3.3,1.2,10.6,40,51.4
"Timothe Luwawu-Cabarrot","BKN","SF",13.8,3500,3.9,0.7,17,"POR",22,28,1.5,117.5,236.5,19,7.3,1.1,2.4,0.6,0.2,0.8,7.1,2.7,9.1,40,50.2
"Chasson Randle","ORL","SG",13.7,3500,3.9,0.8,11.9,"DEN",8,12,7.5,104.5,216.5,18,3.8,1.8,1.4,0.3,0,0.6,3,1.3,8.2,40,54
"Kevon Looney","GSW","C",13.6,3700,3.7,0.9,10.5,"PHI",2,2,3,"N/A","",16,5.4,1.6,4.8,0.5,0.5,0.9,4,2.2,14.2,60,62.1
"Al-Farouq Aminu","ORL","PF",13.2,4000,3.3,0.8,13.4,"DEN",10,19,7.5,104.5,216.5,16,3.7,1.1,3.3,0.5,0.3,0.8,4,1.6,8.6,40,40.7
"Frank Kaminsky","PHX","PF",13,3500,3.7,1.3,18.8,"MIA",7,27,1,"N/A","",10,5.7,1.2,3.1,0.3,0.3,0.7,4,1.8,15.9,50,54.6
"Dwayne Bacon","ORL","SG",12.9,4500,2.9,0.6,18.6,"DEN",10,12,7.5,104.5,216.5,22,6.1,0.8,1.6,0.4,0.1,1,5.5,2.3,8.9,40,45.5
"Cameron Johnson","PHX","SF",12.8,3500,3.7,0.5,17.7,"MIA",7,7,1,"N/A","",24,10.1,1.2,3.3,0.6,0.3,0.8,7,3.2,13.1,50,57.1
"Brad Wanamaker","GSW","PG",12.8,3500,3.7,1,15.9,"PHI",6,8,3,"N/A","",13,4.6,2.3,1.6,0.6,0.2,1.5,5.2,2.1,8.5,40,39
"Kira Lewis Jr.","NOP","PG",12.8,3500,3.7,0.7,19.2,"LAL",2,26,-6,114,222,18,3.5,1.2,0.8,0.5,0.1,0.5,6,2.2,10.3,40,44
"Tyler Johnson","BKN","PG",12.6,3900,3.2,0.7,13.8,"POR",21,16,1.5,117.5,236.5,19,7.8,1.4,2.3,0.3,0.1,1.1,7.3,3,9.8,40,55
"Juan Toscano-Anderson","GSW","PF",12.3,4800,2.6,0.9,11.3,"PHI",6,9,3,"N/A","",13,3.9,1.6,3.3,0.4,0.4,0.4,4.1,2,11.2,50,61.1
"Tyrese Maxey","PHI","SG",12.3,3500,3.5,1.5,22.5,"GSW",27,13,-3,"N/A","",8,3.5,0.9,0.9,0.2,0.1,0.5,5.4,2.2,12.7,40,48.9
"James Ennis","ORL","SF",12.1,3700,3.3,0.8,13.6,"DEN",10,11,7.5,104.5,216.5,15,6.2,1,3,0.6,0.2,1,4.7,2.3,13.9,50,61.1
"Frank Ntilikina","NYK","PG",10.8,3600,3,0.8,14.8,"WAS",22,6,-2,113.75,225.5,14,2.5,0.8,0.8,0.4,0.1,0.4,3.5,1.4,7.9,40,50.8
"Rodney Hood","POR","SG",10.7,3500,3.1,0.5,14.2,"BKN",6,2,-1.5,119,236.5,20,5.4,1.1,1.7,0.5,0.1,0.6,5,2.2,5.4,40,42.9
"Garrison Mathews","WAS","SF",10.6,3500,3,0.6,12.7,"NYK",24,15,2,111.75,225.5,18,8.2,0.7,2.2,0.8,0.3,1.4,4.3,1.7,11.9,40,58.1
"Precious Achiuwa","MIA","PF",9.5,3500,2.7,1.2,19.5,"PHX",13,16,1,"N/A","",8,2.3,0.2,1.5,0.2,0.2,0.7,2.6,1.4,14.7,50,57
"Andre Iguodala","MIA","SF",9,3500,2.6,0.5,11.2,"PHX",13,8,1,"N/A","",17,3.9,1.6,2.8,0.7,0.3,0.4,2.8,1.2,9.6,40,52.2
"Taj Gibson","NYK","PF",8.9,3600,2.5,0.7,9.8,"WAS",22,26,-2,113.75,225.5,13,3.6,0.3,3.4,0.4,0.4,0.7,3.5,2,11.8,60,59
"Abdel Nader","PHX","SF",8.8,3500,2.5,1,19,"MIA",7,7,1,"N/A","",9,3.5,0.4,1.4,0.3,0.3,0.9,4.3,2,13.4,50,56.9
"Wesley Matthews","LAL","SG",8.7,3500,2.5,0.5,10.1,"NOP",16,23,6,108,222,16,4.3,0.9,1.2,0.4,0.3,0.4,4.1,1.6,5.8,40,47.9
"Nassir Little","POR","SF",8.1,3500,2.3,0.7,14.8,"BKN",6,19,-1.5,119,236.5,12,2,0.2,1,0.1,0.1,0.8,2.9,1.3,13.8,40,57.1
"Langston Galloway","PHX","SG",7.1,3500,2,0.8,16.3,"MIA",7,15,1,"N/A","",9,4.9,0.7,1.1,0.3,0.1,0.5,3.9,1.7,14.2,40,63.7
"Zeke Nnaji","DEN","PF",7.1,3500,2,0.6,12.2,"ORL",19,30,-7.5,112,216.5,12,3.2,0.2,1.4,0.1,0.1,0.2,2.5,1.3,11.1,50,65
"Mike Scott","PHI","PF",6.8,3500,1.9,0.6,10.7,"GSW",27,14,-3,"N/A","",12,3.2,0.3,1.9,0.3,0.1,0.2,3.8,1.4,6.5,40,53
"Mychal Mulder","GSW","SF",6.7,3500,1.9,1.7,14.6,"PHI",6,24,3,"N/A","",4,2.8,0.3,0.7,0.1,0.1,0.4,4.2,1.6,9.6,40,58.7
"Isaiah Hartenstein","DEN","PF",6.4,3500,1.8,1.1,18.8,"ORL",19,30,-7.5,112,216.5,6,1.7,0.3,1.3,0.2,0.3,0.6,2.2,1.2,15.6,50,51.3
"Obi Toppin","NYK","SF",5.4,3500,1.5,0.7,16.3,"WAS",22,26,-2,113.75,225.5,8,2.4,0.3,1.3,0.2,0.2,0.3,3.1,1.5,11,50,53.7
"Gary Clark","ORL","PF",5.4,3500,1.5,0.7,10.3,"DEN",8,19,7.5,104.5,216.5,8,1.2,0.3,0.9,0.2,0.1,0.1,1.7,0.5,5.9,30,41.9
"Willy Hernangomez","NOP","C",4.7,3800,1.2,0.6,16.7,"LAL",7,11,-6,114,222,8,2.6,0.5,2.7,0.2,0.2,0.6,2.4,1.3,19.4,50,52.5
"Avery Bradley","MIA","SG",4.7,3500,1.3,0.5,16.7,"PHX",13,3,1,"N/A","",10,3.8,0.8,1,0.3,0.1,0.4,4.9,2,10.4,40,59.1
"KZ Okpala","MIA","SF",4.3,3500,1.2,0.4,11.2,"PHX",13,8,1,"N/A","",12,1.3,0.2,0.9,0.1,0.1,0.1,2.3,1,5.2,40,49.2
"Mohamed Bamba","ORL","C",3,3500,0.9,0.4,19.9,"DEN",10,1,7.5,104.5,216.5,7,2.1,0.2,1.6,0.1,0.3,0.4,2.9,1.4,17.4,50,52.8
"ETwaun Moore","PHX","SF",1,3500,0.3,0.1,15.9,"MIA",7,7,1,"N/A","",9,1.6,0.3,0.5,0.1,0.1,0.2,3.1,1.3,8.7,40,46.1
