Name,Team,Pos,Projection,Salary,Pts/$1k,FPPM,USG%,Opp,OPP Rank,DVP,Spread,Total,O/U,Minutes,PTS,AST,REB,STL,BLK,FT,FGA,FGM,PER,FG%,eFG%
"Gorgui Dieng","MEM","C",18.3,3000,6.1,4.6,16.9,"DEN",10,1,3.5,112,227.5,4,1,0.1,0.5,0.1,0.1,0.3,1.2,0.7,19.3,60,62.5
"JaVale McGee","CLE","C",18.2,3500,5.2,1.7,24.1,"NOP",19,26,8,109.25,226.5,11,5.5,0.6,3.9,0.5,0.9,0.6,3.9,2.2,16.5,60,50.3
"Taurean Prince","CLE","SF",18.2,3400,5.4,1.1,19.3,"NOP",19,3,8,109.25,226.5,17,8.3,1.5,3.3,0.7,0.5,1.1,8,3.1,11.7,40,49.3
"Sterling Brown","HOU","SG",18.2,4500,4,1,13.6,"UTA",1,5,15.5,"N/A","",19,3.2,0.7,1.9,0.3,0.1,0.4,5.3,2.2,11.9,40,56.9
"Tomas Satoransky","CHI","PG",18,3300,5.5,0.8,14.2,"MIA",7,19,3,"N/A","",22,6.2,3.5,2.3,0.5,0.1,1,4.2,2.1,14.7,50,62.1
"Justin Patton","HOU","C",17.9,4900,3.7,1.1,11.6,"UTA",1,5,15.5,"N/A","",17,4.5,0.7,3.3,0.8,1.2,0.3,4.5,1.9,15,40,61.3
"Xavier Tillman Sr.","MEM","C",17.8,3400,5.2,1.3,14.7,"DEN",10,1,3.5,112,227.5,14,4.8,1.1,3,0.6,0.4,0.5,3.7,1.9,13.7,50,54.3
"Desmond Bane","MEM","SG",17.7,4400,4,1,16.6,"DEN",8,9,3.5,112,227.5,17,7.6,1.1,2.1,0.6,0.2,0.6,6,3,11.9,50,59.9
"Denzel Valentine","CHI","SG",17.4,3400,5.1,1.6,19.4,"MIA",7,16,3,"N/A","",11,4,0.8,1.9,0.3,0.1,0.3,7.1,2.9,10.9,40,47.4
"Isaac Okoro","CLE","SF",17.3,4800,3.6,0.5,12.3,"NOP",16,3,8,109.25,226.5,35,7.4,1.7,2.5,1.1,0.5,0.8,6.1,2.5,6.5,40,47.6
"PJ Dozier","DEN","SG",17.3,4000,4.3,1.3,17.1,"MEM",11,10,-3.5,115.5,227.5,13,6.4,1.4,3.3,0.5,0.5,0.7,4.6,2,13.8,40,53.5
"Derrick Favors","UTA","C",17.1,3200,5.3,1.3,13.8,"HOU",18,18,-15.5,"N/A","",13,6.8,0.8,6.7,0.5,0.9,1.3,4.7,3,20.2,60,64.9
"Dwayne Bacon","ORL","SG",17,4200,4,1,18.7,"SAS",20,29,7,"N/A","",17,6,0.6,1.8,0.4,0.1,1,5.7,2.4,9.3,40,46.5
"Nickeil Alexander-Walker","NOP","PG",16.8,3800,4.4,1.4,22.2,"CLE",30,27,-8,117.25,226.5,12,5.3,1.4,1.6,0.7,0.2,0.8,6.2,2.6,12.4,40,47.9
"Khem Birch","ORL","C",16.7,3000,5.6,1.9,12.4,"SAS",15,25,7,"N/A","",9,3.5,0.6,3.4,0.5,0.5,0.9,2.5,1.3,15.6,50,51
"Robin Lopez","WAS","C",16.4,3500,4.7,0.9,15.6,"PHI",6,2,5,"N/A","",18,9.3,0.9,4.6,0.3,0.8,1.3,5.3,3.1,14.6,60,59.8
"Raul Neto","WAS","PG",16.3,4300,3.8,0.6,15.9,"PHI",6,9,5,"N/A","",26,9.3,2.5,2.7,1.1,0.1,1.2,7,3.1,12.5,40,52
"James Ennis","ORL","SF",16.3,3700,4.4,0.9,13.3,"SAS",20,6,7,"N/A","",19,8.2,1.4,4.3,0.8,0.3,1.5,6.9,3.3,12.9,50,58.8
"Kentavious Caldwell-Pope","LAL","SG",16.1,3700,4.4,0.6,14,"IND",8,26,-4.5,111,217.5,26,9.2,1.4,2.6,0.8,0.3,1.3,7.4,3.3,9.7,40,55.1
"Deni Avdija","WAS","SF",15.9,3800,4.2,0.6,12.2,"PHI",6,29,5,"N/A","",25,7.3,1.5,5.2,0.7,0.3,0.4,5.5,2.4,8.5,40,54.5
"Andre Iguodala","MIA","SF",15.8,3500,4.5,0.7,11.8,"CHI",23,26,-3,"N/A","",23,5.3,2.4,4,1.1,0.6,0.4,4.5,1.8,9.8,40,51.7
"Dylan Windler","CLE","SG",15.7,4200,3.7,1.1,14.1,"NOP",19,23,8,109.25,226.5,14,2.5,0.5,1.4,0.3,0.1,0.6,3.8,1.6,12.7,40,56.8
"Talen Horton-Tucker","LAL","SF",15.7,4000,3.9,0.9,20.6,"IND",8,16,-4.5,111,217.5,17,7.2,1.9,2.5,0.9,0.7,1,6.2,2.8,11.7,50,48.4
"Alex Caruso","LAL","PG",15.3,3600,4.3,0.7,14.1,"IND",8,4,-4.5,111,217.5,23,7.3,2.8,3.3,1.4,0.4,1.2,6.8,2.9,10.9,40,52.4
"Al-Farouq Aminu","ORL","PF",14.8,4400,3.4,0.9,15,"SAS",15,7,7,"N/A","",17,4.7,0.9,3.5,0.7,0.6,0.8,4.1,1.5,11.8,40,46.5
"Furkan Korkmaz","PHI","SG",14.7,4200,3.5,0.8,19.7,"WAS",23,6,-5,"N/A","",19,8.2,1.1,2.5,0.6,0.2,1.1,9,3.6,9.2,40,49.2
"Moritz Wagner","WAS","C",14.7,3300,4.5,1.1,18.5,"PHI",6,2,5,"N/A","",14,8.4,1.4,4.1,0.9,0.5,1.8,6,2.9,15.6,50,56.1
"Chuma Okeke","ORL","PF",14.3,3200,4.5,0.6,10.2,"SAS",15,7,7,"N/A","",23,4.3,1.7,3.1,0.7,0.3,0.1,3.1,1.2,9.2,40,48.3
"Devin Vassell","SAS","SG",14.3,3000,4.8,1.6,14.1,"ORL",29,25,-7,"N/A","",9,6.3,1.3,3.5,1.1,0.3,0.8,6,2.4,12.6,40,49.6
"Chasson Randle","ORL","PG",14,3100,4.5,1.4,12.5,"SAS",15,15,7,"N/A","",10,4.4,2.2,1.6,0.3,0.2,0.5,3,1.2,8.9,40,52.9
"Tyrese Maxey","PHI","PG",13.9,3900,3.6,1,22.5,"WAS",22,10,-5,"N/A","",14,8.3,2.1,2,0.3,0.1,0.6,6.6,2.9,12.6,40,48.1
"Precious Achiuwa","MIA","C",13.3,3700,3.6,1,19.4,"CHI",23,14,-3,"N/A","",13,5.5,0.5,4.1,0.5,0.6,1.3,4.4,2.7,15.4,60,57.9
"Aaron Holiday","IND","PG",13.2,3300,4,0.9,19.7,"LAL",7,25,4.5,106.5,217.5,15,4.9,1.3,1.1,0.4,0.1,0.8,6.9,2.5,7.4,40,44.5
"Alex Len","WAS","C",12.9,3100,4.2,2.6,11.7,"PHI",6,2,5,"N/A","",5,2.7,0.3,1.6,0.1,0.3,0.9,3.7,2.1,4.3,60,65
"Markieff Morris","LAL","PF",12.7,4300,3,0.5,14.2,"IND",8,5,-4.5,111,217.5,25,7.1,1.4,5.1,0.5,0.5,0.8,5.9,2.5,9.3,40,50.3
"Daniel Gafford","CHI","C",12.5,3000,4.2,3.1,13.8,"MIA",18,6,3,"N/A","",4,1.6,0.2,1.1,0.1,0.4,0.6,1.8,1.3,17.7,70,66.7
"Facundo Campazzo","DEN","PG",12.4,4100,3,0.7,15,"MEM",11,12,-3.5,115.5,227.5,19,6.3,2.1,1.4,0.9,0.4,0.9,3.5,1.5,11.7,40,53.6
"Garrison Mathews","WAS","SG",12.3,3300,3.7,0.7,13.8,"PHI",6,21,5,"N/A","",17,6,0.5,1.6,0.5,0.3,1.4,4.1,1.8,13.9,40,58.9
"Ben McLemore","HOU","SG",12.2,3500,3.5,0.8,19.9,"UTA",12,5,15.5,"N/A","",16,3.2,0.3,0.9,0.3,0.1,0.5,5.8,2.2,7.9,40,47.1
"Trey Lyles","SAS","PF",12.2,3900,3.1,0.8,12.9,"ORL",19,30,-7,"N/A","",15,5.6,0.7,3.5,0.3,0.2,0.9,6.1,2.9,12.7,50,59
"Mohamed Bamba","ORL","C",12.1,3000,4,2,20.4,"SAS",15,25,7,"N/A","",6,2.1,0.1,1.9,0.1,0.3,0.3,3.1,1.5,20.4,50,57.5
"Matisse Thybulle","PHI","SF",11.6,3100,3.7,0.7,8.9,"WAS",22,23,-5,"N/A","",16,3.9,1.3,1.8,1.4,0.9,0.2,3.7,1.5,8.4,40,44.8
"Jaxson Hayes","NOP","C",11,3200,3.4,0.8,13.3,"CLE",26,4,-8,117.25,226.5,14,4.3,0.5,4,0.4,0.6,0.8,2.2,1.5,15.7,70,67.6
"Max Strus","MIA","SF",10.3,3000,3.4,2.1,17.7,"CHI",11,26,-3,"N/A","",5,3.9,0.3,0.6,0.1,0,0.7,5.9,2.6,11.8,40,60.7
"Georges Niang","UTA","PF",10.2,3000,3.4,0.7,17.2,"HOU",18,29,-15.5,"N/A","",14,4.9,0.6,2.1,0.3,0.1,0.2,4.2,1.8,9.9,40,56.6
"Gabe Vincent","MIA","PG",10.2,3000,3.4,3.4,20.6,"CHI",23,29,-3,"N/A","",3,2.6,0.6,0.5,0.3,0.1,0.6,5.2,1.8,6.5,30,44.4
"Lamar Stevens","CLE","SF",10.2,3000,3.4,"0",15.3,"NOP",16,3,8,109.25,226.5,0,1.5,0.3,0.9,0.2,0.1,0.7,2.6,1.1,8.6,40,41.5
"Gary Clark","ORL","PF",10.1,3000,3.4,2.5,9.8,"SAS",15,7,7,"N/A","",4,1.6,0.4,1.5,0.2,0.2,0.1,1.7,0.5,5.6,30,41.1
"Drew Eubanks","SAS","C",10,3000,3.3,0.9,16,"ORL",29,3,-7,"N/A","",11,3.4,0.6,3,0.1,0.9,0.9,2.9,1.4,10.7,50,41.2
"Wesley Matthews","LAL","SG",9.8,3000,3.3,0.7,10,"IND",8,26,-4.5,111,217.5,15,4,0.9,1.5,0.4,0.3,0.6,4,1.6,6.3,40,48.7
"Isaiah Hartenstein","DEN","C",9.7,3000,3.2,1.1,19.8,"MEM",9,7,-3.5,115.5,227.5,9,1.5,0.3,1.2,0.2,0.3,0.5,2.2,1.2,15.6,50,51.3
"Mike Scott","PHI","PF",9.6,3500,2.7,1,10.8,"WAS",22,24,-5,"N/A","",10,2.9,0.3,1.7,0.2,0.1,0.3,4.7,2.1,6.6,40,56.3
"Edmond Sumner","IND","PG",8.8,3000,2.9,0.4,19.1,"LAL",7,25,4.5,106.5,217.5,21,6.5,0.8,2.1,0.8,0.2,0.8,3.7,1.6,12.1,40,56.7
"Dean Wade","CLE","PF",8,4600,1.7,1,12.3,"NOP",16,4,8,109.25,226.5,8,2.4,0.3,1.2,0.1,0.1,0.3,3.2,1.5,10.6,50,59.5
"Ryan Arcidiacono","CHI","PG",7.9,3000,2.6,1.6,12.5,"MIA",18,19,3,"N/A","",5,1.8,0.8,0.8,0.1,0,0.5,2.7,1.2,11.1,40,53
"Zeke Nnaji","DEN","PF",6.2,3000,2.1,1,12.2,"MEM",11,8,-3.5,115.5,227.5,6,1.8,0.1,0.8,0.1,0.1,0.2,2.4,1.2,10.4,50,63.1
"Matthew Dellavedova","CLE","PG","0",3700,0,"0","0","NOP",19,28,8,109.25,226.5,13,3.1,2.3,0.8,0.3,0,0.4,2.7,1.1,"0",40,"0"
"Otto Porter","CHI","","0","","","0",20.1,"MIA",7,"0",3,"N/A","",21,10.6,1.6,5.5,0.7,0.3,1.2,8.8,4,16.6,50,54.2
