PLAYER_NAME,POSITION,TEAM,RATING,TOP_TEN,PTS,REB,AST,STL,BLK,TOV,SCR,AVG
Kevin Porter Jr.,F-G,HOU,75,0.0,15.6,3.2,6.6,1.4,0.6,3.3,32.04,0.43
Ja Morant,G,MEM,86,1.0,20.1,3.6,7.8,1.2,0.2,3.3,39.02,0.43
Draymond Green,F,GSW,80,1.0,7.7,7.0,9.0,1.6,0.8,3.1,35.7,0.42
Gordon Hayward,F,CHA,85,1.0,20.4,5.5,4.1,1.3,0.3,2.2,37.75,0.42
Khris Middleton,F,MIL,86,0.0,20.0,5.6,5.7,1.1,0.2,2.7,36.47,0.42
Dennis Schroder,G,LAL,77,1.0,17.6,3.8,5.4,1.2,0.2,2.6,33.86,0.41
Malik Beasley,G,MIN,81,0.0,21.8,4.9,2.6,1.0,0.2,1.9,33.28,0.41
Aleksej Pokusevski,C,OKC,71,0.0,11.8,7.7,2.6,0.7,1.5,2.6,28.94,0.41
Chris Paul,G,PHX,88,0.0,16.4,4.5,8.2,1.4,0.2,2.4,36.5,0.41
Mike Conley,G,UTA,85,1.0,18.5,3.8,6.2,1.5,0.2,2.3,37.16,0.41
Jonas Valanciunas,C,MEM,82,0.0,15.8,11.3,1.6,0.6,0.7,1.8,33.86,0.41
Kemba Walker,G,BOS,85,0.0,20.4,4.0,5.0,1.2,0.4,2.4,35.1,0.41
Anthony Edwards,G,MIN,77,1.0,18.3,4.6,2.8,1.1,0.5,2.4,32.42,0.4
Caris LeVert,G,IND,83,0.0,18.0,4.0,5.3,1.3,0.3,2.0,33.55,0.4
Myles Turner,C-F,IND,81,0.0,12.6,6.5,1.1,0.8,3.1,1.3,32.45,0.4
Tyrese Haliburton,G,SAC,83,0.0,15.4,4.0,5.3,1.5,0.6,1.8,32.65,0.39
OG Anunoby,F,TOR,78,1.0,14.9,6.1,1.8,1.7,0.7,1.7,32.42,0.39
Devin Booker,G,PHX,88,2.0,23.0,3.8,4.5,0.8,0.3,3.0,38.61,0.39
Jrue Holiday,G,MIL,86,1.0,16.0,4.3,5.1,1.7,0.5,1.8,35.61,0.39
Andrew Wiggins,F-G,GSW,79,1.0,17.9,5.0,2.2,0.9,0.9,2.1,32.5,0.39
Terry Rozier,G,CHA,82,1.0,19.4,3.6,3.1,1.3,0.3,1.7,33.47,0.38
Deandre Ayton,C,PHX,84,0.0,13.9,10.3,1.3,0.4,1.1,1.6,31.11,0.37
Marcus Smart,G,BOS,80,0.0,13.1,3.1,5.5,1.6,0.4,1.8,29.27,0.37
Enes Kanter,C,POR,80,1.0,12.1,11.0,1.2,0.5,0.8,1.2,31.8,0.37
Buddy Hield,G,SAC,77,0.0,17.0,4.6,3.0,0.7,0.3,1.8,28.22,0.37
Devonte' Graham,G,CHA,78,1.0,15.2,3.0,5.5,1.0,0.1,1.6,30.75,0.37
Chris Boucher,C-F,TOR,80,1.0,13.5,6.7,1.0,0.6,1.8,0.8,31.44,0.37
Robert Covington,F,POR,77,1.0,9.8,7.1,1.9,1.7,1.1,1.3,30.27,0.37
Thaddeus Young,F,CHI,80,0.0,11.7,5.8,4.5,1.3,0.5,2.1,28.71,0.36
Delon Wright,G,SAC,77,0.0,10.5,4.2,4.9,1.6,0.4,1.5,27.39,0.36
Harrison Barnes,F,SAC,80,0.0,15.4,5.9,3.5,0.7,0.2,1.5,28.93,0.36
Kyle Anderson,F-G,MEM,81,0.0,13.6,5.7,3.2,1.2,0.7,1.4,29.54,0.36
Dillon Brooks,F-G,MEM,76,0.0,15.9,3.2,2.7,1.3,0.4,2.0,26.89,0.35
Jae'Sean Tate,F,HOU,77,0.0,11.8,6.3,2.1,1.4,0.6,1.4,27.11,0.35
Ricky Rubio,G,MIN,75,0.0,8.9,3.3,6.8,1.4,0.1,2.1,25.46,0.34
Donte DiVincenzo,G,MIL,77,0.0,11.4,5.3,3.3,1.2,0.2,1.4,25.51,0.33
Theo Maledon,G,OKC,75,1.0,10.7,4.0,4.3,1.3,0.1,2.3,25.85,0.32
Jusuf Nurkic,C,POR,80,0.0,9.8,7.6,2.6,0.8,0.9,2.0,25.92,0.32
T.J. McConnell,G,IND,78,0.0,7.1,3.6,6.1,1.7,0.3,1.8,24.77,0.32
Tony Bradley,C-F,OKC,75,0.0,8.0,8.2,1.3,0.6,1.0,0.6,23.99,0.32
Gary Trent Jr.,F-G,TOR,78,0.0,16.7,2.8,1.6,1.1,0.1,0.9,25.16,0.32
Miles Bridges,F,CHA,75,0.0,10.5,6.1,2.1,0.7,0.8,1.7,23.77,0.32
Brandon Clarke,F-G,MEM,81,0.0,11.5,5.7,1.6,1.1,0.9,0.7,26.04,0.32
Jordan Clarkson,G,UTA,84,0.0,18.0,3.7,2.2,0.9,0.2,1.8,27.24,0.32
Nickeil Alexander-Walker,G,NOP,76,1.0,11.8,3.9,2.5,1.2,0.5,1.6,25.73,0.31
Mikal Bridges,F,PHX,83,1.0,12.5,4.7,2.2,0.8,0.9,0.8,27.74,0.31
Markieff Morris,F,LAL,74,0.0,10.6,6.7,1.8,0.4,0.6,1.1,23.24,0.31
James Wiseman,C,GSW,79,0.0,12.7,6.7,0.9,0.3,1.1,1.7,24.59,0.31
Danuel House Jr.,F-G,HOU,73,0.0,11.4,4.5,2.3,0.7,0.5,1.1,22.75,0.31
