PLAYER_NAME,POSITION,TEAM,RATING,TOP_TEN,PTS,REB,AST,STL,BLK,TOV,SCR,AVG
Gary Trent Jr.,F-G,TOR,78,0.0,16.1,2.7,1.5,1.0,0.2,0.8,24.39,0.31
Hamidou Diallo,G,DET,78,0.0,11.5,5.1,2.3,0.9,0.5,1.4,23.87,0.31
Cory Joseph,G,DET,72,1.0,9.2,3.2,3.6,1.4,0.2,1.4,23.84,0.3
Theo Maledon,G,OKC,75,2.0,10.3,3.9,4.0,1.2,0.1,2.3,26.58,0.3
Josh Jackson,F-G,DET,76,0.0,12.1,4.0,2.2,0.9,0.8,2.2,23.1,0.3
Isaiah Stewart,C-F,DET,78,0.0,8.5,7.0,1.1,0.8,1.2,1.1,23.45,0.3
Seth Curry,G,PHI,76,0.0,12.7,2.4,2.8,0.9,0.2,1.4,21.68,0.29
Kevin Durant,F,BKN,96,0.0,16.3,4.6,2.8,0.5,0.8,2.0,27.92,0.29
Royce O'Neale,F,UTA,75,0.0,7.0,7.0,2.5,0.8,0.5,1.2,21.85,0.29
Tony Bradley,C-F,OKC,76,0.0,8.0,7.5,1.1,0.4,0.9,0.9,21.65,0.28
Danny Green,F-G,PHI,75,1.0,8.1,3.8,1.7,1.4,0.9,1.1,23.01,0.28
Taurean Prince,F,CLE,73,0.0,9.4,4.2,1.9,0.8,0.8,1.3,20.79,0.28
Ty Jerome,F-G,OKC,76,0.0,10.4,3.3,3.5,0.8,0.1,1.1,21.21,0.28
Deni Avdija,F,WAS,74,0.0,8.8,6.1,1.5,0.8,0.2,0.9,20.47,0.28
Kenrich Williams,F-G,OKC,76,0.0,8.8,5.0,2.3,0.7,0.2,1.3,19.65,0.26
Delon Wright,G,SAC,77,0.0,7.3,3.1,3.7,1.1,0.3,1.0,19.77,0.26
Montrezl Harrell,C-F,LAL,83,0.0,11.3,5.5,0.9,0.5,0.6,0.9,21.65,0.26
Kentavious Caldwell-Pope,G,LAL,75,0.0,9.4,2.9,1.8,1.0,0.4,1.1,18.68,0.25
Isaac Okoro,F-G,CLE,73,0.0,8.6,3.3,2.0,1.1,0.4,1.7,18.36,0.25
Robin Lopez,C,WAS,76,0.0,9.0,5.1,0.9,0.4,0.8,1.2,18.87,0.25
Alex Len,C,WAS,75,0.0,8.4,4.5,1.1,0.3,1.2,1.1,18.85,0.25
Jordan Poole,G,GSW,72,0.0,12.2,1.9,1.8,0.5,0.1,1.1,17.88,0.25
Carmelo Anthony,F,POR,79,0.0,11.6,2.9,1.4,0.7,0.5,0.9,19.88,0.25
