PLAYER_NAME,POSITION,TEAM,RATING,PTS,REB,AST,STL,BLK,SCR,AVG
Jae Crowder,F,PHX,77,8.9,4.3,1.7,0.7,0.2,19.31,0.25
Blake Griffin,F,BKN,78,9.8,3.5,2.5,0.4,0.2,19.55,0.25
Marc Gasol,C,LAL,75,5.8,4.2,2.1,0.6,1.0,18.79,0.25
Deni Avdija,F,WAS,74,6.8,5.3,1.3,0.8,0.3,18.41,0.25
Furkan Korkmaz,F-G,PHI,73,9.6,2.5,1.1,0.9,0.1,17.25,0.24
Kendrick Nunn,G,MIA,77,9.9,2.3,2.0,0.8,0.2,18.66,0.24
Kent Bazemore,F-G,GSW,76,7.1,3.0,1.8,1.0,0.5,17.9,0.24
Cameron Johnson,F,PHX,78,10.1,3.3,1.2,0.6,0.3,18.56,0.24
PJ Dozier,F-G,DEN,75,7.7,3.7,1.8,0.6,0.4,17.84,0.24
Kentavious Caldwell-Pope,G,LAL,75,9.3,2.5,1.5,0.9,0.3,18.15,0.24
