PLAYER_NAME,POSITION,TEAM,RATING,GP,PTS,REB,AST,TOV,STL,BLK,SCR,AVG
Darius Garland,G,CLE,77,3,17.67,2.0,5.33,2.67,1.0,0.0,27.4,0.36
Dejounte Murray,G,SAS,83,3,12.0,6.33,5.33,2.0,1.33,0.67,29.6,0.36
Tyrese Haliburton,G,SAC,83,3,22.0,2.0,3.33,2.0,0.67,0.67,30.07,0.36
Buddy Hield,G,SAC,77,3,16.33,5.0,3.67,2.33,0.0,0.67,26.83,0.35
Sterling Brown,F-G,HOU,74,3,12.33,7.67,1.33,0.33,0.0,1.0,25.2,0.34
Pat Connaughton,F-G,MIL,76,3,10.33,8.67,2.33,1.0,0.67,0.33,25.23,0.33
Giannis Antetokounmpo,F,MIL,96,2,14.5,8.0,6.0,3.5,0.5,0.5,31.6,0.33
Christian Wood,F,HOU,85,3,18.0,7.67,0.67,1.33,0.33,0.33,28.2,0.33
Joe Ingles,F-G,UTA,80,3,9.67,6.67,3.33,0.67,2.0,0.0,26.0,0.32
Brandon Clarke,F-G,MEM,81,3,9.67,6.0,3.0,1.0,0.67,2.0,25.7,0.32
Ricky Rubio,G,MIN,75,3,5.33,3.33,8.67,1.67,1.67,0.0,24.0,0.32
Kyle Anderson,F-G,MEM,81,3,8.33,5.0,4.67,1.33,1.67,1.33,26.0,0.32
Tomas Satoransky,F-G,CHI,75,3,10.67,2.0,5.67,2.0,1.33,1.0,24.23,0.32
Juancho Hernangomez,F,MIN,73,3,13.67,6.0,1.0,0.67,0.67,0.0,23.03,0.32
Thaddeus Young,F,CHI,80,3,10.0,7.33,2.67,2.33,1.67,1.0,25.8,0.32
Josh Richardson,F-G,DAL,78,3,14.0,4.33,3.33,1.33,0.67,0.33,24.87,0.32
Isaiah Roby,F,OKC,76,3,12.0,6.0,1.67,2.0,1.33,1.0,24.37,0.32
Derrick White,G,SAS,79,3,15.0,3.0,1.67,1.33,0.67,1.67,24.43,0.31
Jaylen Nowell,G,MIN,74,3,11.0,2.67,4.0,0.67,1.33,0.33,22.87,0.31
Mike Conley,G,UTA,85,3,12.67,4.0,4.67,1.67,1.33,0.0,25.47,0.3
Grayson Allen,G,MEM,76,3,15.33,4.67,1.0,0.67,0.0,0.33,22.43,0.3
Harrison Barnes,F,SAC,80,3,6.67,8.0,5.33,1.33,0.67,0.0,24.27,0.3
Donte DiVincenzo,G,MIL,77,3,12.67,6.67,2.33,2.67,0.33,0.33,22.83,0.3
Lauri Markkanen,C-F,CHI,83,3,13.67,6.67,1.0,0.0,0.67,0.33,25.17,0.3
Tim Hardaway Jr.,F-G,DAL,79,3,16.0,5.0,1.67,0.67,0.0,0.0,23.83,0.3
Shake Milton,F-G,PHI,78,3,15.33,2.33,3.0,2.33,0.33,0.67,22.3,0.29
Dean Wade,C-F,CLE,70,3,8.33,4.0,3.0,0.33,1.33,0.33,20.63,0.29
Jakob Poeltl,C,SAS,78,3,7.67,8.33,1.0,1.67,0.0,2.67,22.83,0.29
Kenyon Martin Jr.,F,HOU,67,3,6.0,5.67,0.67,0.0,1.33,1.33,19.13,0.29
